Video position (%),Absolute audience retention (%),Compared to other videos (%)
0,97.77,16.07
1,82.01,26.59
2,79.33,33.93
3,73.62,37.35
4,71.01,38.9
5,68.54,38.27
6,66.98,36.17
7,61.08,34.54
8,56.72,34.34
9,55.45,34.47
10,55.04,33.4
11,53.25,31.06
12,52.84,29.03
13,52.22,29.31
14,50.55,32.68
15,50.58,38.1
16,51.35,43.63
17,51.24,47.64
18,52.57,49.56
19,52.81,49.63
20,51.27,48.25
21,51.99,45.65
22,51.14,41.94
23,51.02,37.25
24,50.9,31.83
25,50.93,26.02
26,49.8,20.36
27,49.01,15.57
28,46.93,12.13
29,45.49,10.02
30,45.23,8.8
31,44.52,8
32,44.21,7.46
33,43.36,7.17
34,42.32,7.08
35,42.44,7.18
36,42.1,7.55
37,41.91,8.02
38,41.93,7.81
39,42.2,6.13
40,41.61,3.02
41,41.41,-0.75
42,41.87,-4.6
43,42.21,-8.52
44,41.86,-12.62
45,41.01,-16.66
46,40.83,-20.27
47,41.44,-23.26
48,41.64,-25.72
49,41.64,-27.71
50,40.6,-29.08
51,32.45,-29.26
52,26.09,-27.28
53,26.15,-22.13
54,25.45,-13.04
55,26.06,0.48
56,24.82,17.89
57,25.12,36.45
58,27.51,51.96
59,31.03,61.38
60,35.99,64.34
61,35.69,62.73
62,36.78,59.02
63,37.18,55.2
64,37.61,52.6
65,37.16,51.92
66,36.62,53.05
67,37.07,54.67
68,38.32,55.07
69,37.72,53.31
70,37.04,49.55
71,37.05,44.92
72,37.17,41.09
73,36.65,38.72
74,36.71,37.2
75,36.7,35.75
76,36.27,34.06
77,35.95,32.22
78,35.04,30.56
79,34.81,29.32
80,35.21,28.51
81,35.09,28
82,36.63,27.44
83,38.02,26.41
84,37.77,24.44
85,38.36,21.19
86,38.66,16.51
87,37.91,10.61
88,37.09,4.08
89,35.07,-1.8
90,34.31,-5.59
91,33.95,-6.84
92,32.81,-6.54
93,32.37,-6.23
94,32.37,-6.98
95,31.08,-9.03
96,29.65,-11.81
97,26.47,-14.2
98,23.77,-15.31
99,20.99,-15.27